ID,Question,Response (Yes/No),Comment
SEF-01.1,Do you maintain liaisons and points of contact with local authorities in accordance with contracts and appropriate regulations?,,
SEF-02.1,Do you have a documented security incident response plan?,,
SEF-02.2,"Do you integrate customized tenant requirements into your security incident response plans?

Will Bayer be notified within 24 hours of a confirmed incident/breach?",,
SEF-02.3,Do you publish a roles and responsibilities document specifying what you vs. your tenants are responsible for during security incidents?,,
SEF-02.4,Have you tested your security incident response plans in the last year?,,
SEF-03.1,"Are workforce personnel and external business relationships adequately informed of their responsibility, and, if required, consent and/or contractually required to report all information security events in a timely manner?

Please describe your SIEM solution and what events are logged and monitored. Are alerts generated when certain thresholds are reached (e.g., changes to audit records (1), unauthorized elevation of privileges (1), take over ownership (1), failed logins (5))?",,
SEF-03.2,"Do you have predefined communication channels for workforce personnel and external business partners to report incidents in a timely manner adhering to applicable legal, statutory, or regulatory compliance obligations?",,
SEF-04.1,Does your incident response plan comply with industry standards for legally admissible chain-of-custody management processes and controls?,,
SEF-04.2,Does your incident response capability include the use of legally admissible forensic data collection and analysis techniques?,,
SEF-04.3,Are you capable of supporting litigation holds (freeze of data from a specific point in time) for a specific tenant without freezing other tenant data?,,
SEF-04.4,Do you enforce and attest to tenant data separation when producing data in response to legal subpoenas?,,
SEF-05.1,"Do you monitor and quantify the types, volumes, and impacts on all information security incidents?",,
SEF-05.2,"Will you share statistical information for security incident data with your tenants upon request?

Note - This is specifically referring to only incidents that may directly impact/relate to Bayer


Supply Chain Management, Transparency, and AccountabilityCOLLAPSE",,
STA-01.1,"Do you inspect and account for data quality errors and associated risks, and work with your cloud supply-chain partners to correct them?",,
STA-01.2,"Do you design and implement controls to mitigate and contain data security risks through proper separation of duties, role-based access, and least-privileged access for all personnel within your supply chain?

How do you address security with your hosting provider and any other providers?",,
STA-02.1,"Do you make security incident information available to all affected customers and providers periodically through electronic methods (e.g., portals)?",,
STA-03.1,Do you collect capacity and use data for all relevant components of your cloud service offering?,,
STA-03.2,Do you provide tenants with capacity planning and use reports?,,
STA-04.1,"Do you perform annual internal assessments of conformance and effectiveness of your policies, procedures, and supporting measures and metrics?",,
STA-05.1,"Do you select and monitor outsourced providers in compliance with laws in the country where the data is processed, stored, and transmitted?",,
STA-05.2,Do you select and monitor outsourced providers to ensure that they are in compliance with applicable legislation?,,
STA-05.3,Does legal counsel review all third-party agreements?,,
STA-05.4,Do third-party agreements include provision for the security and protection of information and assets?,,
STA-05.5,Do you have the capability to recover data for a specific customer in the case of a failure or data loss?,,
STA-05.6,"Do you have the capability to restrict the storage of customer data to specific countries or geographic locations?

Where will Bayer data be stored?",,
STA-05.7,"Can you provide the physical location/geography of storage of a tenant’s data upon request?

Where is the data physically located? Has that been determined yet?",,
STA-05.8,Can you provide the physical location/geography of storage of a tenant's data in advance?,,
STA-05.9,"Do you allow tenants to define acceptable geographical locations for data routing or resource instantiation?

If Bayer requests this, is it a possibility?",,
