ID,Question,Solvable by Policy (Assume Executed)
AIS-01.1,"Do you use industry standards (i.e. OWASP Software Assurance Maturity Model, ISO 27034) to build in security for your Systems/Software Development Lifecycle (SDLC)?",Yes
AIS-01.2,"Do you use an automated source code analysis tool to detect security defects in code prior to production? If yes, what tools are used to verify source code?",No
AIS-01.3,Do you use manual source-code analysis to detect security defects in code prior to production?,No
AIS-01.4,Do you verify that all of your software suppliers adhere to industry standards for Systems/Software Development Lifecycle (SDLC) security?,Yes
AIS-01.5,"(SaaS only) Do you review your applications for security vulnerabilities and address any issues prior to deployment to production? Do you also conduct dynamic testing? If so, what tools are used?",Yes
AIS-02.1,"Are all identified security, contractual, and regulatory requirements for customer access contractually addressed and remediated prior to granting customers access to data, assets, and information systems?",No
AIS-02.2,Are all requirements and trust levels for customers’ access defined and documented?,Yes
AIS-03.1,Does your data management policies and procedures require audits to verify data input and output integrity routines? Please describe,Yes
AIS-03.2,Are data input and output integrity routines (i.e. MD5/SHA checksums) implemented for application interfaces and databases to prevent manual or systematic processing errors or corruption of data?,Yes
AIS-04.1,"Is your Data Security Architecture designed using an industry standard (e.g., CDSA, MULITSAFE, CSA Trusted Cloud Architectural Standard, FedRAMP, CAESARS)? Audit Assurance & ComplianceCOLLAPSE",Yes
AAC-01.1,"Do you develop and maintain an agreed upon audit plan (e.g., scope, objective, frequency, resources,etc.) for reviewing the efficiency and effectiveness of implemented security controls?",Yes
AAC-01.2,Does your audit program take into account effectiveness of implementation of security operations?,Yes
AAC-02.1,"Do you allow tenants to view your SOC2/ISO 27001 or similar third-party audit or certification reports? If yes, can you provide the report? Also, do you permit clients to perform onsite audits upon request? Is it possible to add language to contract that you will provide independent audit reports on an annual basis?",No
AAC-02.2,"Do you conduct network penetration tests of your cloud service infrastructure at least annually? If yes, how often?",Yes
AAC-02.3,"Do you conduct application penetration tests of your cloud infrastructure regularly as prescribed by industry best practices and guidance? If yes, how often?",Yes
AAC-02.4,Do you conduct internal audits at least annually?,Yes
AAC-02.5,Do you conduct independent audits at least annually?,Yes
AAC-02.6,"Are the results of the penetration tests available to tenants at their request? If yes, would you provide a high-level summary so we knew what security issues existed along with their severity and plan of action?",Yes
AAC-02.7,"Are the results of internal and external audits available to tenants at their request? If yes, would you provide a high-level summary so we knew what security issues existed along with their severity and plan of action?",Yes
AAC-03.1,"Do you have a program in place that includes the ability to monitor changes to the regulatory requirements in relevant jurisdictions, adjust your security program for changes to legal requirements, and ensure compliance with relevant regulatory requirements? Where will Bayer data be transported? Business Continuity Management & Operational ResilienceCOLLAPSE",Yes
BCR-01.1,Does your organization have a plan or framework for business continuity management or disaster recovery management?,Yes
BCR-01.2,Do you have more than one provider for each service you depend on?,No
BCR-01.3,Do you provide a disaster recovery capability?,Yes
BCR-01.4,Do you monitor service continuity with upstream providers in the event of provider failure?,Yes
BCR-01.5,"Do you provide access to operational redundancy reports, including the services you rely on?",Yes
BCR-01.6,Do you provide a tenant-triggered failover option?,No
BCR-01.7,Do you share your business continuity and redundancy plans with your tenants? Do you have documented business continuity and redundancy plans? How often are these plans tested?,Yes
BCR-02.1,Are business continuity plans subject to testing at planned intervals or upon significant organizational or environmental changes to ensure continuing effectiveness?,Yes
BCR-03.1,"Does your organization adhere to any international or industry standards when it comes to securing, monitoring, maintaining and testing of datacenter utilities services and environmental conditions?",Yes
BCR-03.2,"Has your organization implemented environmental controls, fail-over mechanisms or other redundancies to secure utility services and mitigate environmental conditions?",Yes
BCR-04.1,"Are information system documents (e.g., administrator and user guides, architecture diagrams, etc.) made available to authorized personnel to ensure configuration, installation and operation of the information system?",No
BCR-05.1,Is physical damage anticipated and are countermeasures included in the design of physical protections?,No
BCR-06.1,"Are any of your data centers located in places that have a high probability/occurrence of high-impact environmental risks (floods, tornadoes, earthquakes, hurricanes, etc.)?",No
BCR-07.1,"Do you have documented policies, procedures and supporting business processes for equipment and datacenter maintenance?",Yes
BCR-07.2,Do you have an equipment and datacenter maintenance routine or plan?,Yes
BCR-08.1,"Are security mechanisms and redundancies implemented to protect equipment from utility service outages (e.g., power failures, network disruptions, etc.)?",Yes
BCR-09.1,"Do you use industry standards and frameworks to determine the impact of any disruption to your organization (i.e. criticality of services and recovery priorities, disruption tolerance, RPO and RTO etc) ?",Yes
BCR-09.2,Does your organization conduct impact analysis pertaining to possible disruptions to the cloud service?,Yes
BCR-10.1,Are policies and procedures established and made available for all personnel to adequately support services operations’ roles?,Yes
BCR-11.1,Do you have technical capabilities to enforce tenant data retention policies? Please explain how this is enforced?,Yes
