Question ID,Question Text,Response,Comment,Supported
AAC-01.1,"Do you develop and maintain an agreed upon audit plan (e.g., scope, objective, frequency, resources,etc.) for reviewing the efficiency and effectiveness of implemented security controls",Yes,"The Compliance and Audit Management Policy establishes a comprehensive audit program including quarterly internal security reviews, semi-annual assessments, and annual external security assessments. The audit plan covers security control effectiveness, compliance monitoring, and process improvements with defined resources and success metrics.",High
AAC-01.2,Does your audit program take into account effectiveness of implementation of security operations,Yes,"IBP's audit program includes operational effectiveness assessment as documented in the Compliance and Audit Management Policy. This includes monitoring security incident response times, access control effectiveness, backup success rates, and security training completion. Automated compliance monitoring through AWS Config and manual assessments evaluate operational security effectiveness.",High
AAC-02.1,Do you allow tenants to view your SOC2/ISO 27001 or similar third-party audit or certification reports,No,"IBP currently conducts internal security assessments and AWS security best practices compliance but does not maintain formal SOC 2 or ISO 27001 certifications. However, we provide detailed security documentation, AWS compliance reports, and can arrange for third-party security assessments upon customer request as outlined in our Compliance and Audit Management Policy. We are evaluating formal certifications as part of our growth strategy.",Low
AAC-02.2,Do you conduct network penetration tests of your cloud service infrastructure at least annually,Yes,"IBP conducts annual network penetration testing as documented in the Technology and Infrastructure Security Policy. External security assessments include network vulnerability scanning, penetration testing of public systems, and infrastructure security reviews. AWS-native security tools including GuardDuty and Security Hub provide continuous threat detection and monitoring.",High
AAC-02.3,Do you conduct application penetration tests of your cloud infrastructure regularly as prescribed by industry best practices and guidance,Yes,"Annual application penetration testing is conducted by external security specialists as specified in the Technology and Infrastructure Security Policy. Testing includes web application security assessment, API security testing, and authentication/authorization testing. Recent security improvements demonstrate ongoing commitment to application security hardening.",High
AAC-02.4,Do you conduct internal audits at least annually,Yes,"The Compliance and Audit Management Policy requires comprehensive annual internal audits covering security controls, policy compliance, access management, and incident response effectiveness. Quarterly internal reviews supplement annual assessments with ongoing monitoring of security posture and control effectiveness.",High
AAC-02.5,Do you conduct independent audits at least annually,Yes,"IBP engages external security consultants for annual independent security assessments as documented in the Compliance and Audit Management Policy. These include security control reviews, vulnerability assessments, and compliance verification by qualified third-party assessors with relevant security certifications.",High
AAC-02.6,Are the results of the penetration tests available to tenants at their request,Yes,"The Compliance and Audit Management Policy provides for sharing appropriate security assessment summaries with customers upon request, including penetration test results. We provide high-level findings, remediation status, and security improvements while maintaining operational security. Detailed technical findings are available under appropriate confidentiality agreements.",High
AAC-02.7,Are the results of internal and external audits available to tenants at their request,Yes,"Audit result summaries are available to customers as documented in our Compliance and Audit Management Policy. We provide compliance status reports, security control effectiveness metrics, and improvement actions while protecting sensitive operational details. Comprehensive audit documentation is available for qualified customer security reviews.",High
AAC-03.1,"Do you have a program in place that includes the ability to monitor changes to the regulatory requirements in relevant jurisdictions, adjust your security program for changes to legal requirements, and ensure compliance with relevant regulatory requirements",Yes,"The Compliance and Audit Management Policy includes regulatory monitoring for GDPR, AWS security standards, and industry requirements. Our compliance program includes quarterly regulatory updates, policy adjustments for legal changes, and ongoing compliance assessment. Data processing is conducted in EU AWS regions to ensure GDPR compliance and data residency requirements.",High
