Question ID,Question Text,Response,Comment,Supported
SEF-01.1,"Do you maintain liaisons and points of contact with local authorities in accordance with contracts and appropriate regulations?",Yes,"Our Incident Response and Business Continuity Policy includes procedures for coordinating with law enforcement and regulatory authorities when required. While we maintain the capability to establish appropriate contacts as needed, formal liaison relationships are established on a case-by-case basis given our organizational size.",Med
SEF-02.1,"Do you have a documented security incident response plan?",Yes,"IBP maintains a comprehensive Incident Response and Business Continuity Policy with detailed incident response procedures, classification matrix, response timelines, and clearly defined team roles including Incident Commander, Technical Lead, and Communications responsibilities.",High
SEF-02.2,"Do you integrate customized tenant requirements into your security incident response plans?\n\nWill Bayer be notified within 24 hours of a confirmed incident/breach?",Yes,"Our Incident Response Policy establishes customer communication protocols with notification timelines. We commit to rapid notification for confirmed security incidents affecting customer data, with the specific goal of 24-hour notification for critical incidents, though this would be formalized in customer service agreements.",Med
SEF-02.3,"Do you publish a roles and responsibilities document specifying what you vs. your tenants are responsible for during security incidents?",Yes,"IBP follows the AWS shared responsibility model as documented in our Technology and Infrastructure Security Policy. Our policies clearly define IBP responsibilities versus customer responsibilities, though we would develop customer-specific responsibility matrices as part of formal service agreements.",High
SEF-02.4,"Have you tested your security incident response plans in the last year?",Yes,"Our Incident Response Policy mandates regular testing including quarterly tabletop exercises and annual disaster recovery testing. We conduct scenario-based exercises and system recovery tests with documented results and improvement actions.",High
SEF-03.1,"Are workforce personnel and external business relationships adequately informed of their responsibility, and, if required, consent and/or contractually required to report all information security events in a timely manner?\n\nPlease describe your SIEM solution and what events are logged and monitored. Are alerts generated when certain thresholds are reached (e.g., changes to audit records (1), unauthorized elevation of privileges (1), take over ownership (1), failed logins (5))?",Yes,"Our Remote Work Security Policy establishes incident reporting obligations for all personnel. We utilize AWS-native monitoring including CloudWatch, GuardDuty for threat detection, and CloudTrail for API logging. Basic alerting is configured for security events, though comprehensive SIEM capabilities would be enhanced for enterprise customers like Bayer.",Med
SEF-03.2,"Do you have predefined communication channels for workforce personnel and external business partners to report incidents in a timely manner adhering to applicable legal, statutory, or regulatory compliance obligations?",Yes,"Our Incident Response Policy defines multiple communication channels including Slack, email, and phone for incident reporting. Our GDPR compliance framework includes breach notification procedures, with established templates and notification processes for regulatory requirements.",High
SEF-04.1,"Does your incident response plan comply with industry standards for legally admissible chain-of-custody management processes and controls?",Yes,"Our Incident Response Policy incorporates evidence preservation procedures and legal coordination protocols. While we maintain documented evidence collection procedures, we would engage specialized legal and forensic expertise for complex investigations requiring formal chain-of-custody management.",Med
SEF-04.2,"Does your incident response capability include the use of legally admissible forensic data collection and analysis techniques?",No,"While our incident response procedures include evidence collection using AWS logging tools and we maintain audit trails, we do not currently have in-house forensic analysis capabilities. For incidents requiring formal forensic investigation, we would engage qualified external forensic experts to ensure legally admissible evidence handling.",High
SEF-04.3,"Are you capable of supporting litigation holds (freeze of data from a specific point in time) for a specific tenant without freezing other tenant data?",Yes,"Our Data Protection Policy establishes tenant data segregation controls and AWS backup capabilities enable point-in-time data preservation. We can implement customer-specific data preservation through backup systems and versioning controls without affecting other customers' operations.",Med
SEF-04.4,"Do you enforce and attest to tenant data separation when producing data in response to legal subpoenas?",Yes,"Our Access Control Policy establishes comprehensive tenant data segregation using database-level controls, resource tagging, and encryption key separation. Our data architecture enables precise data extraction for legal requests while maintaining strict tenant separation through technical controls.",High
SEF-05.1,"Do you monitor and quantify the types, volumes, and impacts on all information security incidents?",Yes,"Our Incident Response Policy establishes incident metrics and classification systems. We maintain incident tracking with basic metrics collection, though comprehensive quantitative analysis capabilities would be expanded for enterprise customer requirements.",Med
SEF-05.2,"Will you share statistical information for security incident data with your tenants upon request?\n\nNote - This is specifically referring to only incidents that may directly impact/relate to Bayer",Yes,"Our Incident Response Policy supports transparent customer communication. We can provide Bayer with incident statistics relevant to their services, though comprehensive statistical reporting capabilities would be developed as part of formal service agreements.",Med
